Process day,CellName,Condition,Ringer,Animal Line,Slice,Cell Type,Sweep,PW (uS),Calc'd Min,Duration,Frequency,AmpMult,Amp,IPI,Pulses,Baseline FR,Stim FR,Post FR,Modulation Index,Antidromic activity
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,5,100,0.07,500,80,1.5,0.105,12.5,40,28.5,48,26.5,0.254901961,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,17,100,0.07,500,200,2,0.14,5,100,,,,,yes
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,9,100,0.07,500,20,1,0.07,50,10,36,56,42.5,0.217391304,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,10,100,0.07,1000,80,1.5,0.105,12.5,80,32,29,29.5,-0.049180328,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,11,100,0.07,1000,100,2,0.14,10,100,31,46,26,0.194805195,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,12,100,0.07,1000,10,2.5,0.175,100,10,31.5,38,30,0.09352518,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,13,100,0.07,5000,150,1,0.07,6.666666667,750,8,21,3,0.448275862,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,14,100,0.07,5000,50,0.5,0.035,20,250,21,23.2,21.5,0.049773756,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,15,100,0.07,10000,50,1.5,0.105,20,500,21.5,60.6,13,0.476248477,no
8/29/19,TS082919b,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,16,100,0.07,30000,20,2,0.14,50,600,21,42,8.5,0.333333333,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,1,100,0.07,100,150,1,0.07,6.666666667,15,42,40,39,-0.024390244,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,2,100,0.07,250,20,1,0.07,50,5,27.5,24,24,-0.067961165,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,3,100,0.07,250,100,0.5,0.035,10,25,24,24,26.5,0,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,4,100,0.07,500,80,1.5,0.105,12.5,40,20.5,34,22.5,0.247706422,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,5,100,0.07,500,200,2,0.14,5,100,21,62,21,0.493975904,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,6,100,0.07,500,20,1,0.07,50,10,19,18,16.5,-0.027027027,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,7,100,0.07,1000,80,1.5,0.105,12.5,80,24.5,36,28,0.190082645,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,8,100,0.07,1000,100,2,0.14,10,100,59,42,41,-0.168316832,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,9,100,0.07,1000,10,2.5,0.175,100,10,54.5,47,57,-0.073891626,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,10,100,0.07,5000,150,1,0.07,6.666666667,750,58.5,64.2,78,0.046454768,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,11,100,0.07,5000,50,0.5,0.035,20,250,54.5,55.6,65.5,0.009990917,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,12,100,0.07,10000,50,1.5,0.105,20,500,57,96.4,30.5,0.25684485,no
8/29/19,TS082919c,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,13,100,0.07,30000,20,2,0.14,50,600,56,67.9667,47.5,0.096531569,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,1,100,0.07,100,150,1,0.07,6.666666667,15,16.5,0,13,-1,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,2,100,0.07,250,20,1,0.07,50,5,10.5,0,11.5,-1,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,3,100,0.07,250,100,0.5,0.035,10,25,7.5,0,12,-1,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,4,100,0.07,500,80,1.5,0.105,12.5,40,5.5,2,6.5,-0.466666667,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,5,100,0.07,500,200,2,0.14,5,100,4.5,2,5.5,-0.384615385,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,6,100,0.07,500,20,1,0.07,50,10,4.5,0,7,-1,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,7,100,0.07,1000,80,1.5,0.105,12.5,80,4,0,6,-1,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,8,100,0.07,1000,100,2,0.14,10,100,4.5,1,7,-0.636363636,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,9,100,0.07,1000,10,2.5,0.175,100,10,5.5,1,6.5,-0.692307692,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,10,100,0.07,5000,150,1,0.07,6.666666667,750,4,2,10.5,-0.333333333,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,11,100,0.07,5000,50,0.5,0.035,20,250,3.5,1.2,7.5,-0.489361702,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,12,100,0.07,10000,50,1.5,0.105,20,500,4,5.7,12.5,0.175257732,no
8/29/19,TS082919d,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,13,100,0.07,30000,20,2,0.14,50,600,4.5,3.6,10.5,-0.111111111,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,5,100,0.07,50,200,0.5,0.035,5,10,23.5,0,24.5,-1,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,6,100,0.07,100,50,1.5,0.105,20,5,24.5,10,17,-0.420289855,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,7,100,0.07,250,80,1,0.07,12.5,20,14,0,12.5,-1,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,8,100,0.07,250,200,1.5,0.105,5,50,13,0,11,-1,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,9,100,0.07,500,10,2.5,0.175,100,5,21,0,17,-1,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,10,100,0.07,500,50,1,0.07,20,25,16.5,0,16.5,-1,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,11,100,0.07,500,100,1.5,0.105,10,50,10,0,12,-1,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,12,100,0.07,1000,150,2,0.14,6.666666667,150,11.5,0,11,-1,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,13,100,0.07,1000,20,2.5,0.175,50,20,12,2,13,-0.714285714,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,14,100,0.07,1000,200,1,0.07,5,200,7,3,10.5,-0.4,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,15,100,0.07,5000,80,0.5,0.035,12.5,400,7,9.8,8,0.166666667,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,16,100,0.07,10000,10,1.5,0.105,100,100,3.5,1.4,7,-0.428571429,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,18,100,0.07,20000,150,1,0.07,6.666666667,3000,0.5,2.3,5,0.642857143,no
8/29/19,TS082919e,Naïve,Normal,PVtmtxLhx6GFP,L2,Lhx6,19,100,0.07,30000,80,2,0.14,12.5,2400,5.5,2.3,14,-0.41025641,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,1,100,0.07,50,200,0.5,0.035,5,10,32.5,80,82,0.422222222,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,2,100,0.07,100,50,1.5,0.105,20,5,52,150,107,0.485148515,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,3,100,0.07,250,80,1,0.07,12.5,20,30.5,156,113,0.672922252,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,4,100,0.07,250,200,1.5,0.105,5,50,29.5,196,48.5,0.738359202,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,5,100,0.07,500,10,2.5,0.175,100,5,22.5,82,125,0.56937799,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,6,100,0.07,500,50,1,0.07,20,25,19,142,27.5,0.763975155,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,7,100,0.07,500,100,1.5,0.105,10,50,11.5,170,5.5,0.873278237,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,8,100,0.07,1000,150,2,0.14,6.666666667,150,14,178,6,0.854166667,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,9,100,0.07,1000,20,2.5,0.175,50,20,9.5,60,4,0.726618705,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,10,100,0.07,1000,200,1,0.07,5,200,5,132,2.5,0.927007299,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,11,100,0.07,5000,80,0.5,0.035,12.5,400,7,27,0,0.588235294,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,12,100,0.07,10000,10,1.5,0.105,100,100,3,7.8,0,0.444444444,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,13,100,0.07,20000,150,1,0.07,6.666666667,3000,3.5,21.9,0,0.724409449,no
8/29/19,TS082919f,Naïve,Normal,PVtmtxLhx6GFP,L2,PV,14,100,0.07,30000,80,2,0.14,12.5,2400,14.5,65.5,21.5,0.6375,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,17,100,0.083,50,200,0.5,0.041666667,5,10,28.5,20,25.5,-0.175257732,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,18,100,0.083,100,50,1.5,0.125,20,5,16,30,15.5,0.304347826,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,19,100,0.083,250,80,1,0.083333333,12.5,20,15.5,48,13.5,0.511811024,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,20,100,0.083,250,200,1.5,0.125,5,50,17,32,13,0.306122449,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,21,100,0.083,500,10,2.5,0.208333333,100,5,15,10,10,-0.2,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,22,100,0.083,500,50,1,0.083333333,20,25,17.5,36,14,0.345794393,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,23,100,0.083,500,100,1.5,0.125,10,50,20.5,12,13.5,-0.261538462,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,24,100,0.083,1000,150,2,0.166666667,6.666666667,150,11.5,32,9,0.471264368,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,25,100,0.083,1000,20,2.5,0.208333333,50,20,18.5,0,17.5,-1,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,27,100,0.083,1000,200,1,0.083333333,5,200,11,34,6,0.511111111,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,28,100,0.083,5000,80,0.5,0.041666667,12.5,400,40,28,54,-0.176470588,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,14,100,0.083,10000,10,1.5,0.125,100,100,31.5,36.2,50,0.069423929,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,,100,0.083,20000,150,1,0.083333333,6.666666667,3000,,,,,no
8/30/19,TS083019a,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,,100,0.083,30000,80,2,0.166666667,12.5,2400,,,,,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,0,100,0.083,50,200,0.5,0.041666667,5,10,14.5,20,13.5,0.15942029,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,1,100,0.083,100,50,1.5,0.125,20,5,14.5,0,12.5,-1,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,2,100,0.083,250,80,1,0.083333333,12.5,20,13.5,0,12,-1,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,3,100,0.083,250,200,1.5,0.125,5,50,10.5,0,8,-1,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,4,100,0.083,500,10,2.5,0.208333333,100,5,11.5,0,11.5,-1,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,5,100,0.083,500,50,1,0.083333333,20,25,11,0,11,-1,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,6,100,0.083,500,100,1.5,0.125,10,50,10.5,0,7,-1,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,7,100,0.083,1000,150,2,0.166666667,6.666666667,150,11,11,8,0,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,8,100,0.083,1000,20,2.5,0.208333333,50,20,6,0,8.5,-1,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,9,100,0.083,1000,200,1,0.083333333,5,200,6.5,6,6,-0.04,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,10,100,0.083,5000,80,0.5,0.041666667,12.5,400,7,8.2,4.5,0.078947368,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,11,100,0.083,10000,10,1.5,0.125,100,100,7.5,2.6,12,-0.485148515,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,12,100,0.083,20000,150,1,0.083333333,6.666666667,3000,8,6.7,14.5,-0.088435374,no
8/30/19,TS083019b,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,13,100,0.083,30000,80,2,0.166666667,12.5,2400,10.5,12.7,14.5,0.094827586,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,0,100,0.083,100,150,1,0.083333333,6.666666667,15,32,60,33,0.304347826,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,1,100,0.083,250,20,1,0.083333333,50,5,29.5,32,26.5,0.040650407,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,2,100,0.083,250,100,0.5,0.041666667,10,25,24,48,26.5,0.333333333,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,3,100,0.083,500,80,1.5,0.125,12.5,40,28,50,25,0.282051282,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,4,100,0.083,500,200,2,0.166666667,5,100,27,54,26.5,0.333333333,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,5,100,0.083,500,20,1,0.083333333,50,10,28,34,25,0.096774194,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,6,100,0.083,1000,80,1.5,0.125,12.5,80,28.5,52,27,0.291925466,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,7,100,0.083,1000,100,2,0.166666667,10,100,30.5,59,29.5,0.318435754,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,8,100,0.083,1000,10,2.5,0.208333333,100,10,30.5,38,31,0.109489051,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,9,100,0.083,5000,150,1,0.083333333,6.666666667,750,30.5,35,27,0.06870229,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,10,100,0.083,5000,50,0.5,0.041666667,20,250,28.5,35,26,0.102362205,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,11,100,0.083,10000,50,1.5,0.125,20,500,29.5,45.2,32.5,0.210174029,no
8/30/19,TS083019c,Naïve,Normal,PVtmtxLhx6GFP,R2,PV,12,100,0.083,30000,20,2,0.166666667,50,600,27.5,42.4333,32.5,0.213536327,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,2,100,0.083,100,150,1,0.083333333,6.666666667,15,12.5,10,10,-0.111111111,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,3,100,0.083,250,20,1,0.083333333,50,5,11.5,16,12,0.163636364,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,4,100,0.083,250,100,0.5,0.041666667,10,25,11,4,10.5,-0.466666667,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,5,100,0.083,500,80,1.5,0.125,12.5,40,10,4,8,-0.428571429,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,6,100,0.083,500,200,2,0.166666667,5,100,11,2,6,-0.692307692,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,7,100,0.083,500,20,1,0.083333333,50,10,11,10,11,-0.047619048,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,8,100,0.083,1000,80,1.5,0.125,12.5,80,6.5,3,6,-0.368421053,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,9,100,0.083,1000,100,2,0.166666667,10,100,7.5,1,7,-0.764705882,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,10,100,0.083,1000,10,2.5,0.208333333,100,10,8.5,8,9,-0.03030303,likely
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,11,100,0.083,5000,150,1,0.083333333,6.666666667,750,6.5,9.8,6,0.202453988,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,12,100,0.083,5000,50,0.5,0.041666667,20,250,7,6.8,9,-0.014492754,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,13,100,0.083,10000,50,1.5,0.125,20,500,8,11.5,8.5,0.179487179,no
8/30/19,TS083019d,Naïve,Normal,PVtmtxLhx6GFP,R2,Lhx6,14,100,0.083,30000,20,2,0.166666667,50,600,8,10.5667,0.5,0.138242122,no
