Process day,CellName,Condition,Ringer,Animal Line,Slice,Cell Type,Sweep,PW (uS),Calc'd Min,Duration,Frequency,AmpMult,Amp,IPI,Pulses,Baseline FR,Stim FR,Post FR,Modulation Index
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,3,100,0.15,325,175,1.75,0.2625,5.714285714,56.875,15.5,100.251,13.5,0.732183739
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,4,100,0.15,275,125,2.25,0.3375,8,34.375,13.5,117.647,10,0.794124151
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,5,100,0.15,350,175,2.25,0.3375,5.714285714,61.25,10.5,106.414,6.5,0.820380793
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,6,100,0.15,400,125,2.25,0.3375,8,50,10,117.347,4.5,0.842948793
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,7,100,0.15,400,175,2.25,0.3375,5.714285714,70,10.5,104.246,6,0.816987085
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,9,100,0.15,275,150,1.9,0.285,6.666666667,41.25,33,120.131,32,0.56899648
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,10,100,0.15,225,140,1.9,0.285,7.142857143,31.5,30,127.215,27.5,0.618357027
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,11,100,0.15,375,135,2.1,0.315,7.407407407,50.625,20.5,116.216,16,0.700108254
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,12,100,0.15,400,180,2.4,0.36,5.555555556,72,16.5,115.694,13.5,0.750366885
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,13,100,0.15,350,150,2.15,0.3225,6.666666667,52.5,13.5,111.94,8.5,0.784757653
10/9/19,TS101019d,Naïve,Normal,PV x Lhx6,R3,PV,14,100,0.15,1000,200,2,0.3,5,200,11.5,82.4121,6,0.755090132
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,10,100,0.15,200,125,1.75,0.2625,8,25,43,93.75,38.5,0.371115174
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,11,100,0.15,250,175,1.75,0.2625,5.714285714,43.75,19.5,93.8392,15,0.655900165
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,12,100,0.15,350,125,1.75,0.2625,8,43.75,20,113.372,14,0.700086975
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,13,100,0.15,325,175,1.75,0.2625,5.714285714,56.875,16.5,93.9849,15,0.701316651
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,14,100,0.15,275,125,2.25,0.3375,8,34.375,15,73.5295,14.5,0.661129906
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,15,100,0.15,350,175,2.25,0.3375,5.714285714,61.25,15.5,71.901,12.5,0.645312983
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,16,100,0.15,400,125,2.25,0.3375,8,50,16,63.7755,14.5,0.598874341
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,17,100,0.15,400,175,2.25,0.3375,5.714285714,70,14,71.1925,16,0.67133257
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,18,100,0.15,275,150,1.9,0.285,6.666666667,41.25,22.5,87.368,24,0.590417592
10/9/19,TS101019e,Naïve,Normal,PV x Lhx6,L4,PV,19,100,0.15,225,140,1.9,0.285,7.142857143,31.5,19,68.1509,16,0.563974669
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,2,100,0.028333333,200,125,1.75,0.049583333,8,25,32.5,20.8333,33.5,-0.218750762
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,3,100,0.028333333,250,175,1.75,0.049583333,5.714285714,43.75,23,8.15993,19,-0.476254921
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,4,100,0.028333333,350,125,1.75,0.049583333,8,43.75,14,5.81396,17,-0.413145075
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,5,100,0.028333333,325,175,1.75,0.049583333,5.714285714,56.875,12.5,0,13.5,-1
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,6,100,0.028333333,275,125,2.25,0.06375,8,34.375,10,0,10,-1
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,7,100,0.028333333,350,175,2.25,0.06375,5.714285714,61.25,10,0,9,-1
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,8,100,0.028333333,400,125,2.25,0.06375,8,50,9.5,0,8.5,-1
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,9,100,0.028333333,400,175,2.25,0.06375,5.714285714,70,7,0,9,-1
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,10,100,0.028333333,275,150,1.9,0.053833333,6.666666667,41.25,4.5,0,8,-1
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,11,100,0.028333333,225,140,1.9,0.053833333,7.142857143,31.5,9,0,6,-1
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,12,100,0.028333333,375,135,2.1,0.0595,7.407407407,50.625,5.5,2.7027,6.5,-0.341021859
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,13,100,0.028333333,400,180,2.4,0.068,5.555555556,72,6,2.51509,8,-0.40926285
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,14,100,0.028333333,350,150,2.15,0.060916667,6.666666667,52.5,7,2.87026,8.5,-0.418402352
10/11/19,TS101119b,Naïve,Normal,PV x Lhx6,L2,Lhx6,15,100,0.028333333,1000,200,1,0.028333333,5,200,3.5,1.00503,7.5,-0.553818732
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,2,100,0.028333333,200,125,1.75,0.049583333,8,25,12.5,5.20834,12,-0.411764174
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,3,100,0.028333333,250,175,1.75,0.049583333,5.714285714,43.75,15.5,4.07997,14,-0.583250638
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,4,100,0.028333333,350,125,1.75,0.049583333,8,43.75,15,0,13.5,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,5,100,0.028333333,325,175,1.75,0.049583333,5.714285714,56.875,14.5,0,13,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,6,100,0.028333333,275,125,2.25,0.06375,8,34.375,12.5,0,11.5,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,7,100,0.028333333,350,175,2.25,0.06375,5.714285714,61.25,11,0,8,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,8,100,0.028333333,400,125,2.25,0.06375,8,50,11,0,9.5,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,9,100,0.028333333,400,175,2.25,0.06375,5.714285714,70,10.5,0,8,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,10,100,0.028333333,275,150,1.9,0.053833333,6.666666667,41.25,9,0,8.5,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,11,100,0.028333333,225,140,1.9,0.053833333,7.142857143,31.5,7.5,0,7,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,12,100,0.028333333,375,135,2.1,0.0595,7.407407407,50.625,7.5,0,6.5,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,13,100,0.028333333,400,180,2.4,0.068,5.555555556,72,7.5,0,5,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,14,100,0.028333333,350,150,2.15,0.060916667,6.666666667,52.5,5.5,0,4,-1
10/11/19,TS101119c,Naïve,Normal,PV x Lhx6,L2,Lhx6,15,100,0.028333333,1000,200,1,0.028333333,5,200,5.5,0,5.5,-1
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,4,100,0.028330333,200,125,1.75,0.049578083,8,25,14.5,20.8333,15,0.179244509
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,5,100,0.028330333,250,175,1.75,0.049578083,5.714285714,43.75,12.5,16.3199,11.5,0.132543833
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,6,100,0.028330333,350,125,1.75,0.049578083,8,43.75,11,11.6279,11.5,0.027748929
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,7,100,0.028330333,325,175,1.75,0.049578083,5.714285714,56.875,11.5,12.5313,11,0.042914865
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,8,100,0.028330333,275,125,2.25,0.06374325,8,34.375,11,11.0294,10.5,0.00133458
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,9,100,0.028330333,350,175,2.25,0.06374325,5.714285714,61.25,9,11.5042,8.5,0.122131076
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,10,100,0.028330333,400,125,2.25,0.06374325,8,50,8,10.2041,8,0.12107712
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,11,100,0.028330333,400,175,2.25,0.06374325,5.714285714,70,8.5,12.7129,9.5,0.198600851
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,12,100,0.028330333,275,150,1.9,0.053827633,6.666666667,41.25,7.5,14.5613,8,0.320076333
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,13,100,0.028330333,225,140,1.9,0.053827633,7.142857143,31.5,12.5,13.6302,10.5,0.043252635
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,14,100,0.028330333,375,135,2.1,0.0594937,7.407407407,50.625,10.5,16.2162,10.5,0.213960069
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,15,100,0.028330333,400,180,2.4,0.0679928,5.555555556,72,10,12.5754,10.5,0.114079928
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,16,100,0.028330333,350,150,2.15,0.060910217,6.666666667,52.5,16,17.2216,15,0.036771257
10/11/19,TS101119d,Naïve,Normal,PV x Lhx6,L2,PV,19,100,0.028330333,1000,200,1,0.028330333,5,200,14.5,14.0704,13,-0.015036541
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,10,100,0.028330333,200,125,1.75,0.049578083,8,25,18.5,0,17,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,11,100,0.028330333,250,175,1.75,0.049578083,5.714285714,43.75,17.5,0,14,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,12,100,0.028330333,350,125,1.75,0.049578083,8,43.75,16.5,0,14,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,13,100,0.028330333,325,175,1.75,0.049578083,5.714285714,56.875,14.5,0,13.5,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,14,100,0.028330333,275,125,2.25,0.06374325,8,34.375,12,0,10,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,15,100,0.028330333,350,175,2.25,0.06374325,5.714285714,61.25,12,0,10.5,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,16,100,0.028330333,400,125,2.25,0.06374325,8,50,11.5,0,10,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,17,100,0.028330333,400,175,2.25,0.06374325,5.714285714,70,11,0,8,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,18,100,0.028330333,275,150,1.9,0.053827633,6.666666667,41.25,9.5,0,7.5,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,19,100,0.028330333,225,140,1.9,0.053827633,7.142857143,31.5,8,0,8,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,20,100,0.028330333,375,135,2.1,0.0594937,7.407407407,50.625,8,0,8,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,21,100,0.028330333,400,180,2.4,0.0679928,5.555555556,72,9.5,0,6,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,22,100,0.028330333,350,150,2.15,0.060910217,6.666666667,52.5,9.5,0,6.5,-1
10/11/19,TS101119e,Naïve,Normal,PV x Lhx6,L2,Lhx6,23,100,0.028330333,1000,200,1,0.028330333,5,200,8.5,0,9,-1
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,0,100,0.024166667,200,125,1.75,0.042291667,8,25,30.5,57.2917,30.5,0.305173496
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,1,100,0.024166667,250,175,1.75,0.042291667,5.714285714,43.75,28.5,57.1195,28.5,0.334263807
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,2,100,0.024166667,350,125,1.75,0.042291667,8,43.75,28.5,66.8605,23.5,0.402268235
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,3,100,0.024166667,325,175,1.75,0.042291667,5.714285714,56.875,29,56.391,26,0.32077151
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,4,100,0.024166667,275,125,2.25,0.054375,8,34.375,27,47.7941,24,0.278017919
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,5,100,0.024166667,350,175,2.25,0.054375,5.714285714,61.25,23.5,54.6448,22,0.398552431
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,6,100,0.024166667,400,125,2.25,0.054375,8,50,24,63.7755,21.5,0.453150367
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,7,100,0.024166667,400,175,2.25,0.054375,5.714285714,70,21,63.5647,19.5,0.503338864
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,8,100,0.024166667,275,150,1.9,0.045916667,6.666666667,41.25,21,72.8067,20.5,0.552270787
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,9,100,0.024166667,225,140,1.9,0.045916667,7.142857143,31.5,20,77.2376,19.5,0.588636495
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,10,100,0.024166667,375,135,2.1,0.05075,7.407407407,50.625,18.5,67.5676,16,0.570105359
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,11,100,0.024166667,400,180,2.4,0.058,5.555555556,72,18.5,52.8169,17,0.481188891
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,12,100,0.024166667,350,150,2.15,0.051958333,6.666666667,52.5,19.5,74.6268,17,0.585665294
10/14/19,TS101419a,Naïve,Normal,PV x Lhx6,L2,PV,13,100,0.024166667,1000,200,1,0.024166667,5,200,18,33.1658,17,0.296405021
10/14/19,TS101419c,Naïve,Normal,PV x Lhx6,L2,Lhx6,6,100,0.024166667,1000,200,1,0.024166667,5,200,15.5,1.00503,17,-0.878215308
10/14/19,TS101419c,Naïve,Normal,PV x Lhx6,L2,Lhx6,7,100,0.024166667,1000,200,2,0.048333333,5,200,17,0,17,-1
10/14/19,TS101419c,Naïve,Normal,PV x Lhx6,L2,Lhx6,8,100,0.024166667,4000,200,1,0.024166667,5,800,11,7.7597,13,-0.172726643
10/14/19,TS101419c,Naïve,Normal,PV x Lhx6,L2,Lhx6,9,100,0.024166667,4000,100,1,0.024166667,10,400,8.5,7.76942,8.5,-0.044905104
10/14/19,TS101419c,Naïve,Normal,PV x Lhx6,L2,Lhx6,10,100,0.024166667,4000,150,1,0.024166667,6.666666667,600,7.5,6.47846,7,-0.073079581
10/14/19,TS101419c,Naïve,Normal,PV x Lhx6,L2,Lhx6,12,100,0.024166667,4000,150,2,0.048333333,6.666666667,600,6.5,3.23923,10,-0.334807783
10/14/19,TS101419c,Naïve,Normal,PV x Lhx6,L2,Lhx6,14,100,0.024167,1000,150,1,0.024166667,6.666666667,150,6.5,3.00511,4,-0.367685382
10/14/19,TS101419d,Naïve,Normal,PV x Lhx6,L2,Lhx6,3,100,0.024166667,1000,200,1,0.024166667,5,200,10.5,10.0503,9.5,-0.021882892
10/14/19,TS101419d,Naïve,Normal,PV x Lhx6,L2,Lhx6,4,100,0.024166667,1000,200,2,0.048333333,5,200,8,7.03518,9.5,-0.064170831
10/14/19,TS101419d,Naïve,Normal,PV x Lhx6,L2,Lhx6,5,100,0.024166667,4000,200,1,0.024166667,5,800,5.5,5.25657,6.5,-0.02263082
10/14/19,TS101419d,Naïve,Normal,PV x Lhx6,L2,Lhx6,6,100,0.024166667,4000,100,1,0.024166667,10,400,5,4.26065,3.5,-0.079837808
10/14/19,TS101419d,Naïve,Normal,PV x Lhx6,L2,Lhx6,7,100,0.024166667,4000,150,1,0.024166667,6.666666667,600,3,2.49172,4,-0.092553881
10/14/19,TS101419d,Naïve,Normal,PV x Lhx6,L2,Lhx6,8,100,0.024166667,4000,150,2,0.048333333,6.666666667,600,1,1.24586,1,0.109472541
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,0,100,0.024166667,1000,200,1,0.024166667,5,200,4.5,0,6,-1
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,1,100,0.024166667,1000,200,2,0.048333333,5,200,4,3.01508,5.5,-0.140400395
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,2,100,0.024166667,4000,200,1,0.024166667,5,800,4,3.25407,5,-0.10282917
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,3,100,0.024166667,4000,100,1,0.024166667,10,400,6,4.76191,6,-0.115043705
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,4,100,0.024166667,4000,150,1,0.024166667,6.666666667,600,4,4.23592,4.5,0.028645252
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,5,100,0.024166667,4000,150,2,0.048333333,6.666666667,600,3.5,5.48177,6,0.220643593
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,6,100,0.024167,1000,150,1,0.024166667,6.666666667,150,3,1.0017,3,-0.499362771
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,7,100,0.024167,1000,100,1,0.024166667,10,100,3,1.0101,3.5,-0.496222039
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,10,100,0.024167,4000,10,1,0.024166667,100,40,3,2.5641,3,-0.078341511
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,14,100,0.024167,4000,20,1,0.024166667,50,80,3,1.51899,3.5,-0.327730311
10/14/19,TS101419e,Naïve,Normal,PV x Lhx6,R3,Lhx6,15,100,0.024167,4000,50,30,0.725,20,200,3,2.01005,1.5,-0.197592838
10/14/19,TS101419f1,Naïve,Normal,PV x Lhx6,R3,PV,1,100,0.024167,1000,200,1,0.024166667,5,200,30,20.1005,27.5,-0.197592838
10/14/19,TS101419f2,Naïve,Normal,PV x Lhx6,R3,PV,6,100,0.024167,1000,200,1,0.024166667,5,200,25.5,47.2362,23,0.298836068
10/14/19,TS101419f3,Naïve,Normal,PV x Lhx6,R3,PV,7,100,0.024167,1000,200,1,0.024166667,5,200,28,24.1206,22.5,-0.074431223
10/14/19,TS101419f4,Naïve,Normal,PV x Lhx6,R3,PV,11,100,0.024167,1000,200,1,0.024166667,5,200,68,77.3869,73,0.064564964
